id_eess,codigo_renaes,categoria,nombre,diresa,red,extra,direccion,longitud,latitud,id_ubigeo
10100,10402,II-E,LASER VISION CENTER & ASOCIADOS S.A.C.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. JAVIER PRADO ESTE 1066, INTERIOR 605 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.018334,-12.090558,1311
10138,10440,I-2,INTEGRASALUD CONSULTORIOS MÉDICOS,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. SALAVERRY 1258 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.04254664,-12.07853182,1293
10144,10446,SD,SUIZA LAB SAC,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. ALFONSO UGARTE 1000-A DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.042496,-12.0520372,1285
10153,10455,I-1,CENTRO ODONTOLOGICO INTEGRAL VITAL DENT SAC,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. SALAVERRY 1071, 1ER PISO URB. FDO. OYAGUE DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0453,-12.07,1293
10213,10515,II-1,CLINICA SANTA LUCIA S.A.C.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AV. GUARDIA CIVIL 301,-77.00834245,-12.09144534,1310
10297,10599,SD,CLINICA INTERNACIONAL S.A.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AV. GUARDIA CIVIL N°475 MZ A4- LOTE 6,-77.0094212,-12.09346873,1310
10366,10668,I-3,POLICLÍNICO PERUANO JAPONÉS,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. GREGORIO ESCOBEDO NO. 783 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.054784,-12.087682,1293
10373,10675,I-3,PREVENTIS SALUD,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. SALAVERRY N° 1071 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0418855,-12.0760043,1293
10393,10695,I-3,FAMISALUD,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. AREQUIPA 4067 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03083611,-12.10618026,1302
10405,10707,I-3,POLICLINICO DIVINO NIÑO JESUS,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV AREQUIPA Nº 2457 2DO PISO DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03343785,-12.0885928,1296
10441,10743,II-2,CLINICA STELLA MARIS,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. PASO DE LOS ANDES Nº 923 DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.05928362,-12.07139763,1301
10492,10794,SD,CRYMEF,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JR. BERNINI 287 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0073658,-12.0915315,1310
10522,10824,I-2,CENTRO CAMELIAS,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. JAVIER PRADO ESTE 414 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0296706,-12.092005,1311
10529,10831,II-1,CENTRO ESPECIALIZADO EN ODONTOESTOMATOLOGÍA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA SIMON BOLIVAR NO165 - PUEBLO LIBRE DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.05486358,-12.07455454,1301
10571,10873,SD,CLINICA BENEDICTO XVI,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE SAN LUIS GONZAGA 743 - URB. AZCARRUZ DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00226,-12.021563,1312
10946,11249,I-2,SAN PABLO MEDIC CENTER,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. CANTO GRANDE, MZ. N, LOTE 1 - AAHH JESUS OROPEZA CHONTA DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00327035,-11.96716717,1312
11042,11346,II-E,IPOR CLINICA ESPECIALIZADA ONCOLOGIA & CIRUGIA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JR. EDUARDO ORDOÑEZ Nº 215 - 219 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0074385,-12.1056534,1310
11076,11380,I-2,SERLUNG SRL,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. GREGORIO ESCOBEDO 676-713 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0541078,-12.0859538,1293
11097,11401,II-2,CLINICA SAN JUDAS TADEO,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE MANUEL RAYGADA Nº 170 ANEXO EN CALLE LAUREANO MARTINEZ Nº 140 - URB EL CAMPILLO DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0821207,-12.0798457,1316
11121,11425,I-3,CENTRO DIAGNOSTICO MIRAFLORES,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. ALFREDO BENAVIDES 298 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0495381,-12.0469717,1302
11495,11803,II-1,CLINICA VIRGEN DEL ROSARIO SRL,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JR. CASTILLA N° 976 DISTRITO MAGDALENA DEL MAR PROVINCIA LIMA DEPARTAMENTO LIMA,-77.072371,-12.087817,1300
11565,11873,SD,LITOTRICIA S.A.C.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE JAIME HERRERA ARDILES NO.307 1ER PISO DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0735385,-12.0789842,1301
11667,11975,SD,INCA AIR AMBULANCE,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. MIRAFLORES 28 DE JULIO Nº 1331 URB. SAN ANTONIO DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.019316,-12.130288,1302
12026,12337,SD,HUMBERTO ANSELMO DIAZ DELGADO,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. PETIT THOUARS 2842 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0324286,-12.0914296,1311
12088,12399,I-1,MARCOS ALONSO MARTIN CHICO BAZAN,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,OTROS ALFREDO SALAZAR 314 OF. 803 PISO 8 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0391694,-12.1094981,1311
12342,12657,I-2,CENTRO DR GALVEZ,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. CUBA 214 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0385263,-12.0747549,1293
12520,12839,I-2,CONSULTORIO MEDICO QUINTO,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. EMILIO CAVENECIA 225 INT 612 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0385747,-12.1088267,1311
12542,12861,I-1,DENTAL BLUE,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JR PEDRO CONDE 310 OFICINA 203 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0327901,-12.08792401,1296
12566,12885,I-3,POLICLINICO PNP WALTER ROSALES,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE LOS RUISEÑORES S/N - COMPLEJO  PNP ARAMBURU NÚMERO S/N DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0190228,-12.1157347,1321
12786,13106,I-3,POLICLINICO I.S.A.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JR. GENERAL ORBEGOSO 419 INT 201 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0516876,-12.0654226,1285
13057,13383,II-E,CLINICA SANTA ISABEL,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA GUARDIA CIVIL NÚMERO 135 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00737837,-12.08939693,1310
13552,13880,I-3,MEDSOLUTIONS,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. FAUSTINO SANCHEZ CARRION 960 EX AV. PERSHING - 1ER Y 2DO PISO DISTRITO MAGDALENA DEL MAR PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0593246,-12.0952469,1300
13651,13980,I-3,MAVIMEDIC,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV LAS ARTES NORTE 1014 OF 202 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-76.995882,-12.08996,1310
13697,14027,SD,MOVIMEDIC,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JR. TRUJILLO 690 - URB. SAN FELIPE DISTRITO MAGDALENA DEL MAR PROVINCIA LIMA DEPARTAMENTO LIMA,-77.06074811,-12.08984122,1300
13831,14161,I-3,GESTION OPTIMA S.A.C.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE LAS ORQUÍDEAS 2811 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0357761,-12.0853194,1296
14146,14479,I-1,DENTAL ORTOCENTER,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE BURGOS 195 INT 201 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0480221,-12.0895472,1311
14167,14501,II-2,CLINICA SAN GABRIEL S.A.C.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. LA MARINA 2945-2949-2955-2965 MARANGA- SAN MIGUEL DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA,-77.09578,-12.07636667,1316
14482,14919,I-2,SOLUMEDICAL,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. CANADA 3221 - URBANIZACION JAVIER PRADO IV ETAPA DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA,-76.99669927,-12.0818317,1314
14804,15250,I-1,ODONTO MARCES,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JIRON FRANCISCO DE ORELLANA 177 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0596924,-12.0653338,1285
14964,15411,I-1,CENTRO SONRISAS,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE K N° 125 OF. 201 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00656749,-12.12832947,1302
15069,15516,I-3,IPRESS PRO VIDA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. BRASIL 3490 DISTRITO MAGDALENA DEL MAR PROVINCIA LIMA DEPARTAMENTO LIMA,-77.069999,-12.0904353,1300
15161,15610,II-2,CLÍNICA INTERNACIONAL - SEDE LIMA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JR. WASHINGTON 1471 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03836239,-12.05836675,1281
15266,15716,II-E,CLÍNICA VISTA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JIRON CARACAS 2410 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.05677251,-12.08542302,1293
15449,15904,II-1,RED DE SALUD CLINICA S.A.C.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AV. AREQUIPA 2449 - 2469 - 2491,-77.0355616,-12.0883783,1296
15475,15930,SD,SERVICIOS MEDICOS SAN PABLO,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,OTROS MZ.N LTE.1 AA.HH.JESUS OROPEZA CHONTA DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00350907,-11.96752927,1312
15498,15953,I-1,ESCUELA PARA EMBARAZADAS,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV JOSE PARDO 541 OF 110 AV JOSE PARDO 541 OF 110 MIRAFLORES LIMA LIMA,-77.034183,-12.1192502,1302
15559,16014,I-1,PIERRE FAUCHARD,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JR BELISARIO FLORES 134 1ER PISO DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0365047,-12.0815231,1296
15697,16152,I-2,POLICLINICO SAN RAMON,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV DEL AIRE Nº 1005 - URB TUPAC AMARU DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00157895,-12.07967555,1314
16406,16948,I-3,MEDICENTRO COLMENA DE LA CLÍNICA INTERNACIONAL,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. NICOLAS DE PIEROLA EX-AV.COLMENA N°727-733 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03688718,-12.05000441,1281
16562,17107,I-1,CONSULTORIO DENTAL PETIRROJOS,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE LOS PETIRROJOS Nº 438  URB. CORPAC - SAN ISIDRO DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0150825,-12.0946734,1311
16664,17214,SD,SERVICIOS MÉDICOS DR. SERVAN,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. GRAU NRO. 1021, 1ER Y 2DO PISO DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.021637,-12.05782,1281
16736,17289,I-1,CONSULTORIO DENTAL PAZ,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE CAPAC LLAUTO Nº 281, 2DO PISO URB. ZARATE DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.99547655,-12.02524637,1312
16898,17452,I-1,SOLIDENT,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. CANEVARO 388 INT 305 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0356452,-12.0848154,1296
17129,17686,I-3,MEDIC CENTER POLICLINICO,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. EMANCIPACIÓN 226, 1ER PISO DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.034526,-12.0480609,1281
17443,18011,III-E,INCOR,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JIRON CORONEL FÉLIX ZEGARRA Nº.S 397-417-455-465-491-495 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0398868,-12.0768185,1293
17669,18242,I-1,DENTAL SYSTEM E.I.R.L.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE ALFA AGUILA 108 CONSULTORIO 03 URB LA CALERA DE LA MERCED DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00353164,-12.11813122,1321
17764,18337,I-2,FEMEVA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV.JAVIER PRADO ESTE 1010 INT. 904 SAN ISIDRO DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0183295,-12.0905573,1311
18049,18626,II-E,OFTALMICA S.A,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA SAN BORJA NORTE NÚMERO 783 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-76.99929344,-12.09412063,1310
18323,18901,I-1,CONSULTORIO DENTAL DENTO GROUP,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. GRAN CHIMU 1399 DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9887557,-12.0241241,1312
18465,19043,I-1,CONSULTORIO PREVENCION Y SALUD,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,OTROS MZ G-8 LOTE 18 A.A.H.H JOSE CARLOS MARIATEGUI MZ G-8 LOTE 18 A.A.H.H JOSE CARLOS MARIATEGUI SAN JUAN DE LURIGANCHO LIMA LIMA,-76.98465384,-11.9459833,1312
18792,19372,I-1,CASTILLA SERVICIO DENTAL,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV SAN LUIS 1425 PRIMER PISO DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA,-76.997483,-12.0810269,1314
18835,19416,I-3,RESPIRA SALUD OCUPACIONAL,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. SAN EUGENIO N° 899 URB. SANTA CATALINA AV. SAN EUGENIO N° 899 URB. SANTA CATALINA LA VICTORIA LIMA LIMA,-77.0170184,-12.0852585,1295
19681,20269,SD,CENTRO DE VACUNACIÓN DE LA CLINICA DELGADO,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. ANGAMOS OESTE N°450 - 490, TERCER PISO , INTERIOR 306 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.033148,-12.1131663,1302
19829,20418,I-1,MJM ODONTOLOGOS SAC,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AVIACION 2747 2747 OF 301 SAN BORJA LIMA LIMA,-77.0024533,-12.095375,1310
19985,20574,I-3,HEALTHCARE GROUP PERU SAC,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. RAFAEL ESCARDO 591 URB. MARANGA DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0927254,-12.07536914,1316
20111,20701,I-1,CONSULTORIO ABRIL,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. SANTUARIO NRO. 1591 URB. MANGOMARCA DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9855022,-12.0204884,1312
20158,20748,SD,IMUNOLAB PERU,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE CORONEL LEÓN VELARDE N° 605, 1ER Y 3ER PISO DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0408487,-12.0833985,1296
20205,20796,I-3,CENTRO DE EXCELENCIA EN REUMATOLOGÍA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JR. BENOZZO DI LESE DI SANDRO GOZZOLI NORTE 296, ESQUINA CON AV. DE LAS ARTES SUR DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00632154,-12.10175881,1310
20215,20806,I-1,SERVICIO INFORMACIÓN, ORIENTACIÓN Y CONSEJERÍA PSICOLÓGICA ESPECIALIZADA EN DROGA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. BENAVIDES 2199 - B DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.009895,-12.1275129,1302
20244,20836,SD,CYTOMETRIC BIOSERVICES,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA DEL AIRE NÚMERO 1308 DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA,-76.99716098,-12.07746695,1314
20344,20936,I-3,POLICLINICO TOBALMO S.A.C.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AVENIDA PROCERES DE LA INDEPENDENCIA Nº 1461. URB. LOS JARDINES DE SAN JUAN DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0034367,-12.0104398,1312
20399,20991,SD,POLICLINICO LIMA MEDICAL CENTER,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JIRON LOS SOCIOLOGOS MZ E LOTE 11 COOP. DE VIVIENDA LA UNION DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.98958802,-11.97010353,1312
20401,20993,I-1,CONSULTORIO DENTAL SAGRADA FAMILIA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV.GR. CHIMU 1384 ZARATE DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9895632,-12.0243802,1312
20696,21289,I-2,CLINICA DR AUGUSTO CACERES CABELLO-PIEL Y MEDICINA ESTETICA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV SUCRE 899 - MAGDALENA DEL MAR AV SUCRE 899 - MAGDALENA DEL MAR MAGDALENA DEL MAR LIMA LIMA,-77.0698192,-12.0901843,1300
20721,21315,SD,CONSULTORIO ODONTOLOGICO COBBA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. PRÓCERES DE LA INDEPENDENCIA Nº 162-B DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.01028178,-12.02630407,1312
21016,21612,I-3,CESIAMED,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,OTROS MZ. A, LOTE 04 URB. MANUEL SCORZA, CAMPOY DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9671865,-12.0181791,1312
21315,21912,I-1,CONSULTORIO ODONTOLOGICO,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AVENIDA BRASIL 345 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0433554,-12.0626114,1281
21365,21962,I-1,CONSULTORIO OBSTETRICO PREVENTIVO YO MUJER,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE 13 MZ. D-1, LOTE 12 - URB. LOS PINOS DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9939836,-11.9689301,1312
21383,21980,I-3,INTAC,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,CALLE CALLE FERMIN TANGÛIS 143 / SANTA CATALINA DISTRITO LA VICTORIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.01201676,-12.08091658,1295
21415,22013,I-2,OFTALMÓLOGOS CONTRERAS C. SCRL,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. JAVIER PRADO ESTE Nº 1038 INTERIOR 1001-1002 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.018636,-12.091248,1311
21643,23156,I-3,CENTRO ODONTOLOGICO AMERICANO - ESPECIALIDADES ARONA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA JUAN DE ARONA N?ERO 402 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0303789,-12.0968503,1311
21721,23235,SD,HOGAR CLINICA SAN JUAN DE DIOS,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA NICOLAS ARRIOLA NÚMERO 3250 DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9896222,-12.0655032,1314
21753,23269,I-2,CASA LA VISITACION SALUD Y SERVICIO,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA GUILLERMO DANSEY NÚMERO 534 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0462473,-12.0451984,1281
